,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5335915577570597,0.8025333333333333,10.269443035125732,10.374751091003418,0.01,64,True
1,1,2,0.4065302107810974,0.8479666666666666,11.021024227142334,21.50154399871826,0.01,64,True
2,1,3,0.37438283048470816,0.8595333333333334,10.907130718231201,32.5110764503479,0.01,64,True
3,1,4,0.3612353948434194,0.86455,10.895536422729492,43.56703233718872,0.01,64,True
4,1,5,0.3520550679206848,0.8667333333333334,11.02124547958374,54.7234411239624,0.01,64,True
5,1,6,0.34742824975649517,0.86775,11.029717922210693,65.8723316192627,0.01,64,True
6,1,7,0.3364929485082626,0.8730833333333333,10.992135047912598,76.96765375137329,0.01,64,True
7,1,8,0.33594764483769735,0.87295,10.957326412200928,88.04380822181702,0.01,64,True
8,1,9,0.33112108024756115,0.8758166666666667,11.050740718841553,99.21550464630127,0.01,64,True
9,1,10,0.3295375743548075,0.8749833333333333,10.952500820159912,110.28971552848816,0.01,64,True
10,1,11,0.3258250620365143,0.877,10.959582090377808,121.33309936523438,0.01,64,True
11,1,12,0.3289755834817886,0.8761166666666667,11.073315143585205,132.5583517551422,0.01,64,True
12,1,13,0.32090597331523896,0.87915,10.970103025436401,143.64602398872375,0.01,64,True
13,1,14,0.31921790732542676,0.8792,11.036508798599243,154.7991361618042,0.01,64,True
14,1,15,0.3208598902861277,0.8797666666666667,11.048863887786865,165.98092675209045,0.01,64,True
15,1,16,0.318831253918012,0.88005,10.995305299758911,177.07477569580078,0.01,64,True
16,1,17,0.3201938601175944,0.8810166666666667,10.936769485473633,188.1343128681183,0.01,64,True
17,1,18,0.31474234149456026,0.8815333333333333,10.953359127044678,199.20313024520874,0.01,64,True
18,1,19,0.32023692541122434,0.8816,10.997468948364258,210.31591892242432,0.01,64,True
19,1,20,0.3175285019874573,0.8811166666666667,10.924630880355835,221.36838102340698,0.01,64,True
20,1,21,0.31657578711509704,0.8813166666666666,10.873169660568237,232.3979253768921,0.01,64,True
21,1,22,0.3136157564083735,0.8834666666666666,11.02214002609253,243.5389792919159,0.01,64,True
22,1,23,0.3064671135346095,0.8849833333333333,11.021085739135742,254.65637588500977,0.01,64,True
23,1,24,0.3235115836064021,0.8798833333333334,11.018114805221558,265.7940421104431,0.01,64,True
24,1,25,0.3345684053103129,0.8795833333333334,11.001017808914185,276.92678904533386,0.01,64,True
25,1,26,0.3218593021631241,0.8814166666666666,10.982167959213257,288.03588032722473,0.01,64,True
26,1,27,0.3117071860631307,0.8829,11.091763496398926,299.2395851612091,0.01,64,True
27,1,28,0.31336261912981667,0.8822833333333333,11.438840866088867,310.80758476257324,0.01,64,True
28,1,29,0.31580142902533215,0.8833333333333333,11.161544799804688,322.12073254585266,0.01,64,True
29,1,30,0.3099235763072968,0.8856,11.006931781768799,333.24732422828674,0.01,64,True
30,2,1,0.5447870902697245,0.7967666666666666,10.82120394706726,10.92478632926941,0.01,64,False
31,2,2,0.40231403901576995,0.8501166666666666,11.226109981536865,22.273534536361694,0.01,64,False
32,2,3,0.3762036943952243,0.8587833333333333,11.197223901748657,33.60557794570923,0.01,64,False
33,2,4,0.36912054885228474,0.8612666666666666,11.331277847290039,45.051440954208374,0.01,64,False
34,2,5,0.35525724946657816,0.8655833333333334,11.10574722290039,56.297062158584595,0.01,64,False
35,2,6,0.35050185480117796,0.8684666666666667,11.224100351333618,67.652184009552,0.01,64,False
36,2,7,0.3495901969750722,0.8691,11.196214199066162,78.97750115394592,0.01,64,False
37,2,8,0.3443581037521362,0.8709,11.146328210830688,90.25926280021667,0.01,64,False
38,2,9,0.33886972081661226,0.8722833333333333,11.14615535736084,101.52673816680908,0.01,64,False
39,2,10,0.3377072432041168,0.87395,11.587621450424194,113.23726344108582,0.01,64,False
40,2,11,0.33107790009180704,0.8761833333333333,11.176977396011353,124.5485327243805,0.01,64,False
41,2,12,0.3297631865898768,0.8769833333333333,11.179906368255615,135.88443279266357,0.01,64,False
42,2,13,0.3273156894445419,0.87605,11.208494901657104,147.2291305065155,0.01,64,False
43,2,14,0.32676574969689054,0.8780166666666667,11.168236017227173,158.52258777618408,0.01,64,False
44,2,15,0.325933572769165,0.8779666666666667,11.25088095664978,169.90539002418518,0.01,64,False
45,2,16,0.3290531339009603,0.8781,11.477344036102295,181.48723888397217,0.01,64,False
46,2,17,0.3182937744220098,0.8809833333333333,11.358716249465942,192.98952555656433,0.01,64,False
47,2,18,0.32001327154636383,0.8815833333333334,11.18285346031189,204.29582333564758,0.01,64,False
48,2,19,0.3202502680381139,0.8799333333333333,11.300302505493164,215.72036838531494,0.01,64,False
49,2,20,0.316593679300944,0.8826,11.195865869522095,227.06641721725464,0.01,64,False
50,2,21,0.3179642861684163,0.8829,11.303033828735352,238.49585008621216,0.01,64,False
51,2,22,0.31469279453754423,0.8839333333333333,11.254818677902222,249.8422577381134,0.01,64,False
52,2,23,0.3147688515822093,0.88345,11.256025075912476,261.22356629371643,0.01,64,False
53,2,24,0.31936395154794056,0.8827,11.367218017578125,272.7209749221802,0.01,64,False
54,2,25,0.31173167668183643,0.884,11.272259712219238,284.157644033432,0.01,64,False
55,2,26,0.3103425330877304,0.8854,11.21546220779419,295.50909328460693,0.01,64,False
56,2,27,0.3054190181096395,0.88735,11.476730585098267,307.1181800365448,0.01,64,False
57,2,28,0.32077429321606954,0.8812,11.269107580184937,318.5251934528351,0.01,64,False
58,2,29,0.31016030836900077,0.88645,11.251646041870117,329.8937883377075,0.01,64,False
